 Morbidade Hospitalar do SUS - por local de residência - Maranhão
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"211085 São Francisco do Brejão";-;-;1;1;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;1;-;1;-;1;1;1;-;1;2;4;-;-;1;-;-;1;1;4;-;4;-;1;1;1;-;3;-;-;1;-;-;-;-;1;1;2;-;1;3;2;1;-;1;1;1;-;3;1;1;1;-;-;1;-;-;-;-;2;2;1;2;-;1;-;1;2;4;1;-;-;2;1;-;2;1;1;1;1;1;2;1;3;2;1;2;2;1;-;-;2;1;1;1;1;2;1;3;1;2;1;2;5;1;-;1;133
"211090 São Francisco do Maranhão";-;-;-;-;-;-;1;2;1;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;1;1;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;1;1;2;1;-;-;1;-;1;1;-;-;1;-;1;1;1;-;1;1;1;-;3;1;-;2;1;-;-;1;-;-;-;1;1;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;2;-;1;1;-;-;-;-;2;1;-;1;1;-;1;-;-;1;3;1;-;-;2;3;-;1;1;2;-;3;2;1;2;1;1;1;2;-;3;2;1;-;4;1;-;2;2;2;7;-;2;2;2;115
"211100 São João Batista";-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;2;1;-;-;-;-;-;1;-;2;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;3;2;1;1;1;-;-;3;1;-;1;2;1;3;2;-;1;1;1;1;-;-;1;1;2;3;2;2;2;-;1;2;2;1;-;3;2;1;-;2;1;2;2;1;-;-;1;1;3;1;2;3;3;1;7;-;-;-;-;1;1;-;1;-;1;1;3;1;1;1;-;1;1;-;4;-;2;-;-;1;2;1;1;4;1;1;1;1;2;-;1;1;3;3;2;1;2;1;1;3;1;1;1;1;1;1;-;4;2;2;2;3;1;1;170
"211102 São João do Carú";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;1;-;-;2;-;1;1;1;-;1;-;1;1;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;2;-;-;1;1;1;1;1;4;-;-;-;-;-;1;1;-;-;1;3;1;-;-;-;-;-;2;1;-;-;-;-;-;1;1;3;1;-;-;1;3;1;-;-;2;2;-;-;1;-;1;-;1;-;-;-;-;-;1;1;1;1;-;1;2;1;-;-;2;1;1;-;1;2;2;2;1;1;1;-;2;-;1;3;-;1;2;1;2;6;3;1;-;4;1;-;1;-;108
"211105 São João do Paraíso";-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;2;-;1;-;1;-;-;1;1;-;-;1;1;-;3;-;1;-;1;-;-;1;-;1;2;-;1;1;1;-;2;1;1;-;1;-;-;2;-;1;-;-;4;-;2;1;1;-;-;-;-;1;-;-;1;3;2;-;2;-;3;2;2;2;-;1;-;1;1;3;-;2;1;1;3;2;2;5;1;-;2;1;2;1;1;-;2;1;1;-;2;2;3;3;3;-;1;-;1;2;-;-;-;2;4;2;2;1;3;1;-;1;3;1;1;-;1;1;2;-;-;1;-;2;-;1;142
"211107 São João do Soter";-;-;-;1;2;-;-;2;2;1;2;-;3;3;4;-;1;1;3;1;-;2;3;2;-;2;3;-;3;3;1;-;1;2;1;1;5;2;1;-;-;4;5;1;1;1;1;2;4;-;1;-;1;-;3;1;2;2;-;1;2;-;2;3;3;7;2;1;-;2;2;2;4;4;4;3;1;1;1;1;-;1;2;1;6;1;-;6;2;3;-;1;3;2;2;2;2;4;2;3;3;5;1;1;2;3;1;2;1;2;3;1;4;1;2;2;1;2;-;-;-;1;1;-;-;2;5;1;-;4;3;1;-;-;-;2;2;-;1;2;3;-;-;3;3;1;3;-;-;3;-;1;3;1;3;-;5;1;2;1;3;1;3;2;280
"211110 São João dos Patos";-;-;-;-;-;2;3;4;-;2;1;2;1;2;3;3;1;3;4;1;2;1;5;3;3;2;3;5;2;4;3;2;5;5;3;4;2;2;1;2;3;2;4;4;3;3;5;3;2;2;2;1;4;3;3;2;4;4;3;2;5;2;4;5;3;2;2;4;3;3;4;-;3;2;1;3;5;1;4;4;3;5;-;-;5;3;3;3;1;2;2;3;5;2;4;2;5;3;1;2;3;4;2;1;3;1;1;3;3;3;5;2;-;3;3;3;3;6;1;2;5;3;5;3;1;1;3;3;2;3;4;2;2;5;3;3;1;1;1;4;4;5;4;4;3;2;3;4;5;3;3;-;3;4;3;8;10;3;3;6;2;2;4;-;459
"211120 São José de Ribamar";-;1;-;2;4;3;7;5;4;7;3;3;8;6;1;4;5;7;12;4;12;6;9;5;7;6;9;10;7;9;6;9;7;5;20;16;9;6;7;8;9;11;7;12;4;13;12;13;17;14;13;10;12;13;7;19;23;10;22;10;13;20;13;10;12;13;20;13;22;21;17;13;16;22;20;17;17;20;21;21;12;23;19;21;18;23;15;24;23;15;19;23;23;19;14;32;28;30;21;24;23;23;17;25;24;26;30;28;34;33;28;29;21;25;28;27;21;25;28;36;29;26;24;35;33;20;35;35;29;25;39;30;26;39;33;29;24;25;34;32;26;45;33;33;24;37;23;26;26;37;38;34;39;63;106;73;51;56;39;43;33;40;35;14;3384
"211125 São José dos Basílios";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;1;1;1;-;1;1;-;2;-;-;2;-;-;1;1;1;-;1;1;-;-;1;2;1;-;-;-;1;2;-;1;-;-;3;-;1;-;1;1;-;1;-;-;1;-;-;3;1;3;1;1;-;2;-;-;1;2;1;-;1;2;-;1;1;-;-;-;-;-;1;1;-;2;-;-;-;1;1;-;1;-;-;1;-;2;4;1;-;-;1;2;-;-;-;1;-;1;3;-;1;4;-;-;-;-;1;1;-;2;-;2;1;-;5;4;1;2;1;1;1;-;1;-;107
"211130 São Luís";1;2;11;15;42;87;85;95;89;98;78;99;99;91;96;116;110;116;127;108;104;99;118;147;106;128;119;156;110;127;122;128;136;134;137;149;158;137;161;125;124;136;152;146;148;128;151;170;133;148;154;175;164;158;163;180;166;146;168;173;159;186;174;162;153;134;176;172;165;190;186;185;199;180;187;181;168;168;181;156;213;200;194;193;194;200;222;218;215;227;190;173;252;236;223;189;194;199;212;214;197;204;198;195;246;267;243;212;201;216;195;221;168;205;206;211;232;202;230;208;219;183;177;167;195;167;186;180;182;186;223;205;198;207;178;198;157;192;198;155;235;247;259;208;209;200;191;182;174;196;176;183;180;438;512;240;206;213;205;230;197;206;133;81;28180
"211140 São Luís Gonzaga do Maranhão";-;-;-;-;-;-;1;1;-;4;-;1;4;1;2;2;-;3;1;1;-;1;2;1;1;1;-;4;-;-;2;1;-;-;1;-;-;1;1;1;4;1;-;2;2;1;-;3;1;-;1;-;-;1;2;-;-;2;1;-;-;1;1;2;1;3;3;-;-;-;3;-;3;6;-;2;2;3;1;2;3;1;1;1;1;1;1;2;1;2;3;-;3;2;3;1;-;1;3;2;3;3;2;2;2;2;3;3;3;3;-;1;-;3;2;1;1;2;2;2;2;3;4;1;-;4;5;2;2;3;5;5;1;1;-;-;-;-;1;3;3;2;4;2;2;5;2;5;2;4;1;3;1;2;5;8;6;5;3;4;-;3;3;-;281
"211150 São Mateus do Maranhão";1;-;-;1;1;1;2;-;1;2;1;4;1;-;-;3;2;1;2;3;1;-;1;-;1;2;-;-;1;2;1;2;3;5;1;4;4;2;4;3;-;-;2;-;2;1;2;1;1;-;-;-;3;2;2;-;2;3;1;4;-;-;1;6;2;4;1;2;2;3;7;6;3;9;3;9;1;8;5;7;3;6;3;2;6;6;2;3;6;4;4;3;7;4;7;3;3;4;5;2;5;2;3;4;3;6;3;4;4;8;4;2;4;4;7;4;8;4;4;6;4;3;4;6;5;5;4;7;4;3;5;8;4;3;9;6;3;6;8;5;6;8;7;5;8;2;6;5;6;8;7;6;4;3;18;9;9;7;3;5;4;7;3;-;588
"211153 São Pedro da Água Branca";-;-;-;1;-;1;1;2;-;-;1;2;-;-;-;-;2;1;-;-;1;-;-;2;1;2;-;1;1;1;-;-;1;-;-;1;1;-;1;2;-;-;3;-;2;1;3;1;1;-;-;-;3;2;-;-;-;1;1;3;1;2;1;1;2;2;1;3;2;1;2;1;1;2;2;2;-;3;-;1;2;1;1;1;-;2;3;1;3;-;-;2;2;-;3;1;1;2;4;2;3;-;2;-;2;-;4;-;2;-;1;-;2;1;3;1;1;2;2;-;3;2;1;1;1;4;1;-;1;2;-;2;2;1;1;1;1;1;1;-;1;-;2;2;1;1;2;-;1;2;-;-;1;1;-;1;2;1;1;1;2;1;-;-;183
"211157 São Pedro dos Crentes";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;1;-;1;1;1;-;-;-;-;-;-;-;1;1;1;1;2;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;32
"211160 São Raimundo das Mangabeiras";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;1;1;-;-;-;-;1;1;-;-;1;2;-;2;-;3;2;2;2;1;1;1;1;-;-;1;-;1;-;-;-;1;2;-;1;1;-;1;-;1;-;3;-;2;2;2;3;2;-;2;1;2;1;1;1;1;5;4;2;-;2;2;-;-;1;2;-;3;1;3;1;-;-;2;1;3;5;2;-;1;1;-;3;3;2;-;-;3;4;1;-;1;1;4;1;3;3;1;4;-;4;1;3;4;2;1;1;3;3;1;2;4;6;2;6;-;3;1;-;188
"211163 São Raimundo do Doca Bezerra";-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;2;1;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;1;1;-;-;-;1;2;1;1;2;-;-;-;1;-;-;39
"211167 São Roberto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;1;-;1;1;-;1;-;-;1;-;-;2;-;-;1;-;-;-;-;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;1;-;-;1;-;-;35
"211170 São Vicente Ferrer";-;-;-;-;-;-;1;-;1;-;2;-;-;2;-;-;1;2;2;1;-;-;-;2;-;-;-;-;3;-;1;-;1;-;-;1;1;-;1;-;1;2;-;-;1;-;-;-;-;-;-;1;-;-;2;1;2;1;1;3;1;-;-;1;2;-;-;-;1;1;1;1;-;-;-;1;1;-;1;1;1;-;-;2;3;1;1;-;-;2;2;1;-;1;1;2;2;1;1;1;1;-;-;1;1;1;3;-;1;1;2;2;1;4;-;2;2;1;-;1;1;-;1;1;1;1;1;-;-;-;-;2;2;1;-;2;1;-;3;1;2;1;1;2;-;1;-;-;2;-;3;-;2;-;2;-;-;6;1;-;1;-;2;-;139
"211172 Satubinha";-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;1;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;1;-;1;1;-;-;1;-;1;1;-;-;2;1;-;4;-;-;1;-;2;-;-;-;-;-;1;1;2;-;-;1;-;-;-;-;-;-;-;1;2;-;-;2;1;1;-;-;1;-;-;1;-;-;-;-;1;1;-;2;-;2;-;-;1;1;1;-;3;2;2;-;-;69
"211174 Senador Alexandre Costa";-;-;-;-;1;1;1;1;-;2;1;1;1;1;-;-;-;-;1;1;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;1;1;1;-;-;-;1;-;1;-;4;1;1;1;2;-;1;1;3;-;1;1;4;1;-;1;2;3;2;-;-;1;-;-;-;1;1;1;1;1;2;1;-;-;-;2;1;2;1;2;1;1;-;2;2;-;-;1;1;-;-;2;1;3;1;-;1;2;2;1;-;3;1;1;-;1;1;2;1;1;-;2;3;1;2;-;-;3;-;-;-;-;1;1;2;-;-;-;-;1;2;2;1;4;1;3;1;1;1;-;4;-;2;2;2;-;1;-;1;2;148
"211176 Senador La Rocque";-;-;1;3;1;2;1;1;1;3;-;3;1;2;-;1;1;2;3;-;3;1;2;1;-;-;-;3;1;-;2;1;1;-;1;1;-;1;2;2;1;3;3;-;-;1;-;1;1;3;1;1;1;2;2;1;4;1;4;3;6;1;2;2;3;1;3;2;5;2;2;1;-;5;2;2;1;1;4;2;5;2;4;1;2;2;3;6;2;2;4;4;3;6;1;2;2;3;2;3;4;6;3;4;5;2;2;3;-;3;-;5;1;4;2;2;3;3;3;1;4;-;-;7;4;4;2;5;2;1;-;5;3;3;5;3;4;-;3;4;1;2;5;2;4;4;2;4;6;3;6;5;5;-;8;4;4;3;5;1;3;2;1;-;382
"211178 Serrano do Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;1;1;-;-;-;-;1;1;1;-;-;-;2;1;2;1;2;-;2;-;-;2;3;-;2;-;-;-;-;2;-;1;-;1;-;-;1;1;-;1;-;1;-;2;-;-;-;1;3;-;1;1;1;-;-;3;3;4;-;2;-;-;1;-;-;-;3;1;2;2;1;-;2;-;3;3;-;1;-;1;1;2;1;2;2;1;5;-;-;-;1;1;3;1;1;-;-;1;2;-;-;1;1;1;-;1;-;1;-;-;-;3;-;1;-;2;-;1;1;3;1;1;-;-;1;1;-;1;-;1;1;-;2;-;1;1;2;-;1;-;1;1;2;1;1;-;135
"211180 Sítio Novo";-;-;1;-;1;-;1;1;2;-;1;-;-;2;1;-;1;2;-;1;1;-;1;1;-;-;-;-;1;-;1;1;-;-;-;3;2;1;-;1;3;3;1;2;-;-;1;2;-;-;3;1;1;-;-;1;1;2;3;2;1;-;-;1;1;-;2;-;2;2;2;1;-;2;-;-;1;2;2;1;1;2;-;1;2;3;2;2;1;4;2;1;5;1;3;3;3;-;3;-;1;-;2;3;3;3;1;3;4;1;1;1;-;3;-;1;2;1;1;3;-;2;1;1;2;1;1;-;1;1;2;2;-;2;3;4;1;2;2;3;2;1;3;1;2;-;2;5;2;2;2;2;6;2;2;3;2;6;2;2;3;7;2;-;238
"211190 Sucupira do Norte";-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;2;4;-;-;-;-;1;-;1;1;-;1;-;1;1;-;-;-;1;1;-;1;1;1;-;1;-;-;-;1;-;-;2;-;-;-;-;-;-;3;-;-;2;-;2;-;1;-;-;-;2;1;1;1;1;-;-;-;2;1;2;-;-;1;-;-;3;1;1;-;-;-;-;-;1;-;1;-;3;-;-;-;1;-;3;1;-;2;-;1;1;-;1;-;-;-;2;-;1;1;1;3;2;2;2;-;1;1;2;-;92
"211195 Sucupira do Riachão";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;1;1;-;4;1;1;-;-;-;1;-;1;1;-;-;1;1;-;1;-;1;-;1;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;1;-;1;-;-;2;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;1;-;1;-;-;1;-;-;2;2;-;1;-;-;1;-;-;1;-;-;1;-;1;3;1;1;2;-;-;1;-;-;2;1;-;1;2;1;1;-;-;-;1;1;-;-;1;1;1;-;-;1;-;2;-;-;1;2;-;-;-;1;-;2;1;1;2;-;2;-;3;-;88
"211200 Tasso Fragoso";-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;1;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;1;1;-;-;2;-;1;1;1;1;1;1;1;-;1;-;-;-;-;-;-;-;1;1;-;1;1;-;-;1;-;-;1;-;-;-;-;2;1;2;-;1;2;1;1;1;-;1;1;-;1;1;1;2;1;1;1;-;-;1;-;-;-;-;-;-;1;2;-;-;-;63
"211210 Timbiras";-;-;-;-;-;3;3;1;-;2;1;4;-;1;1;-;1;-;-;2;-;1;1;1;3;-;2;2;1;1;1;-;3;2;1;-;-;1;1;-;1;2;1;1;2;2;1;1;2;2;1;2;1;2;2;2;2;2;3;4;3;2;1;-;-;1;1;1;6;4;1;9;9;10;9;6;5;5;8;7;2;6;6;8;7;10;7;6;5;5;4;6;3;9;11;4;6;3;12;4;4;8;5;5;5;4;7;9;8;7;10;5;6;5;3;5;6;4;9;2;-;-;6;8;9;2;7;9;5;6;10;13;6;13;11;7;6;9;4;4;8;9;8;7;12;6;9;7;8;4;5;9;4;4;14;9;8;7;8;7;5;5;1;2;706
"211220 Timon";-;1;1;3;7;12;11;12;9;11;10;17;12;9;18;16;10;19;32;16;9;13;19;14;8;11;18;11;12;8;13;9;7;10;9;11;13;12;4;5;8;5;13;11;8;5;18;14;14;16;9;12;19;9;24;13;11;12;15;15;15;16;9;11;14;13;14;12;19;11;18;13;10;21;22;22;17;11;7;9;13;16;10;6;12;11;10;8;11;10;11;15;13;24;13;17;19;17;16;15;14;12;17;12;17;21;22;19;22;22;16;18;18;17;15;14;21;23;11;11;13;15;24;18;22;18;13;18;19;29;17;26;16;16;25;17;20;14;10;16;17;19;21;14;12;16;17;16;15;17;20;17;20;9;35;60;46;28;26;22;20;30;16;14;2479
"211223 Trizidela do Vale";-;-;-;-;-;1;-;2;-;-;-;2;3;3;3;-;2;1;3;1;1;1;4;2;1;1;-;-;1;3;1;-;1;-;2;2;-;1;-;1;2;1;1;-;2;1;1;1;-;2;5;1;2;-;2;3;1;1;3;12;4;2;1;5;3;2;2;5;1;2;-;4;1;2;4;4;4;2;4;5;3;3;2;4;2;4;2;-;1;2;3;1;1;2;2;1;4;2;2;3;3;5;1;4;1;3;2;3;1;1;4;2;1;3;2;2;2;5;2;2;1;3;2;2;5;-;-;2;3;2;3;1;2;7;1;4;4;7;3;4;1;2;3;2;2;3;6;11;4;2;1;3;3;4;25;6;7;3;5;8;2;6;3;1;403
"211227 Tufilândia";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;4;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;-;-;1;-;1;-;1;-;-;1;1;-;-;-;1;1;-;-;-;1;1;-;-;1;1;1;-;-;3;-;-;-;-;2;-;-;-;1;1;-;-;-;-;1;-;1;1;-;2;1;3;2;1;-;1;1;1;1;2;2;4;2;-;2;1;-;-;-;75
"211230 Tuntum";-;-;-;-;1;1;2;1;4;3;1;1;3;5;1;2;3;1;2;2;7;5;2;2;2;2;1;1;1;2;2;1;2;1;1;1;1;3;1;-;4;2;3;5;4;1;1;2;5;4;4;4;1;6;5;4;4;2;7;4;6;3;4;2;5;2;6;4;3;3;1;2;2;4;5;6;-;5;1;-;4;8;2;1;2;3;1;-;2;5;5;2;4;5;4;1;1;8;1;3;3;2;7;5;3;4;3;4;3;6;4;4;5;2;5;2;7;11;3;6;2;5;9;4;4;2;2;1;3;10;6;1;5;7;7;3;5;10;2;5;6;2;5;9;2;8;8;6;8;5;6;4;1;6;4;12;14;14;6;3;4;5;5;2;596
"211240 Turiaçu";-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;-;1;3;2;1;1;1;-;1;-;-;-;1;1;-;2;-;-;-;2;-;-;-;-;2;3;-;3;1;1;2;1;2;2;-;-;1;2;-;2;1;1;1;1;1;1;1;1;2;1;1;2;2;-;2;1;2;-;-;-;1;1;1;-;-;-;1;-;2;1;2;-;1;2;1;-;-;3;1;-;1;1;1;1;3;1;5;1;1;-;3;1;2;2;1;-;3;-;1;2;2;2;4;1;3;4;3;1;1;2;2;1;2;5;1;2;2;1;2;4;4;-;5;3;2;2;4;3;1;1;1;2;-;-;1;1;1;3;5;3;3;1;-;-;1;-;-;-;203
"211245 Turilândia";-;-;-;-;-;-;-;1;2;2;1;-;1;-;1;-;2;2;-;1;-;1;1;-;3;1;-;-;2;1;4;1;1;1;1;1;2;2;-;-;1;-;2;1;2;1;2;2;-;-;-;-;1;-;-;-;-;2;2;1;2;-;1;1;1;-;-;-;3;-;1;4;4;-;1;1;1;-;2;-;2;-;1;5;1;1;1;1;1;-;2;2;2;3;1;2;-;2;1;1;-;2;1;-;-;1;1;1;2;-;3;1;2;2;-;2;2;-;-;3;1;5;-;1;2;3;4;2;5;2;4;4;3;4;-;1;1;3;1;3;1;5;2;3;1;2;2;-;-;3;2;1;2;-;4;3;2;3;1;2;1;2;1;4;222
"211250 Tutóia";-;-;-;-;-;-;-;3;4;-;2;1;1;2;3;-;2;1;2;1;2;1;1;1;2;2;-;3;1;3;1;2;1;1;5;4;-;-;2;1;1;1;4;2;2;1;2;3;-;1;2;3;4;4;2;-;-;1;2;2;3;1;3;2;-;1;2;-;2;1;-;3;2;3;2;-;2;2;-;-;2;1;2;2;2;1;3;3;3;3;-;2;-;3;5;-;2;3;2;-;-;1;1;2;-;2;2;5;6;4;2;3;4;1;3;3;2;4;3;4;3;6;3;1;5;1;5;-;1;6;3;3;4;1;2;3;5;2;5;2;5;6;3;9;8;5;5;4;3;2;7;3;8;1;9;8;1;7;-;4;4;5;3;2;385
"211260 Urbano Santos";-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;1;1;2;2;-;1;-;1;3;2;1;1;-;2;-;-;3;-;2;1;-;2;2;3;5;1;-;4;3;3;2;-;1;1;1;-;1;2;-;-;4;1;2;-;2;2;1;1;3;-;-;3;2;-;4;3;1;1;1;2;1;1;-;3;3;5;3;2;3;-;3;3;2;1;-;2;2;1;4;1;3;3;2;-;1;2;-;3;3;2;1;2;1;2;1;1;3;-;1;3;1;2;3;2;1;1;1;2;2;3;2;2;2;2;3;4;1;3;2;5;2;1;3;5;3;3;5;3;2;3;2;2;2;4;3;4;1;1;12;6;6;5;3;2;3;4;1;1;301
"211270 Vargem Grande";-;-;-;-;-;-;1;-;1;-;1;1;1;-;3;1;-;5;7;-;2;2;2;2;4;2;1;2;-;2;2;3;1;4;3;4;5;6;4;3;3;2;5;9;6;4;2;1;2;5;6;7;6;3;5;5;1;3;2;2;2;6;4;6;4;5;1;3;6;3;11;2;5;1;7;3;6;2;4;7;7;2;2;4;4;4;5;7;3;5;11;3;4;10;8;4;4;4;1;10;9;4;5;7;4;7;3;4;9;4;4;8;4;4;6;6;6;4;3;5;2;5;2;3;4;10;5;4;5;6;8;8;4;1;3;12;7;10;3;2;5;4;3;3;2;3;5;3;2;3;7;3;3;3;5;13;7;6;6;3;3;2;4;3;655
