DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2017
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210210 Brejo";-;-;2;8;2;-;-;-;-;-;-;-;-;12
"210215 Brejo de Areia";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210220 Buriti";-;-;1;-;-;2;-;-;-;-;-;-;-;3
"210230 Buriti Bravo";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"210255 Campestre do Maranhão";-;13;35;1;-;-;-;-;-;-;-;1;-;50
"210280 Carolina";-;-;6;7;4;2;1;1;1;1;-;-;-;23
"210300 Caxias";-;-;-;2;22;147;122;8;3;1;3;-;-;308
"210312 Central do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"210315 Centro do Guilherme";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"210320 Chapadinha";-;-;4;7;3;9;3;9;-;-;-;-;-;35
"210325 Cidelândia";-;2;2;-;-;6;-;-;-;-;-;-;-;10
